location,scenario,algorithm,expected_total_sec,expected_drive_sec,expected_walk_sec,expected_exit_sec,expected_cross_sec,success_probability,runtime_ms,chain_length,status
Set 1: N-N,Short Stay (10-40m),MDP_Difference,717.15,389.88,122.78,189.48,15.0,0.875,7306.0,3,success
Set 1: N-N,Short Stay (10-40m),MDP,717.15,389.88,122.78,189.48,15.0,0.875,17095.2,3,success
Set 1: N-N,Short Stay (10-40m),Heuristic,717.15,389.88,122.78,189.48,15.0,0.875,5816.7,3,success
Set 1: N-N,Mid Stay (1-2h),MDP_Difference,563.07,209.36,137.21,201.51,15.0,0.9688,12231.7,5,success
Set 1: N-N,Mid Stay (1-2h),MDP,563.07,209.36,137.21,201.51,15.0,0.9688,17044.8,5,success
Set 1: N-N,Mid Stay (1-2h),Heuristic,563.07,209.36,137.21,201.51,15.0,0.9688,5833.5,5,success
Set 1: N-N,Long Stay - Day (6-10h),MDP_Difference,617.06,211.29,141.69,248.96,15.12,0.9922,17095.1,7,success
Set 1: N-N,Long Stay - Day (6-10h),MDP,644.6,250.58,137.21,241.81,15.0,0.9688,17025.6,5,success
Set 1: N-N,Long Stay - Day (6-10h),Heuristic,617.06,211.29,141.69,248.96,15.12,0.9922,5876.1,7,success
Set 1: N-N,Long Stay - Night (8-12h),MDP_Difference,484.04,133.6,141.69,193.63,15.12,0.9922,17215.7,7,success
Set 1: N-N,Long Stay - Night (8-12h),MDP,514.31,174.02,137.21,188.08,15.0,0.9688,16982.1,5,success
Set 1: N-N,Long Stay - Night (8-12h),Heuristic,484.04,133.6,141.69,193.63,15.12,0.9922,5943.2,7,success
Set 1: N-N,Evening Stay (2-4h),MDP_Difference,608.86,230.27,131.32,232.26,15.0,0.9375,10032.7,4,success
Set 1: N-N,Evening Stay (2-4h),MDP,608.86,230.27,131.32,232.26,15.0,0.9375,17492.3,4,success
Set 1: N-N,Evening Stay (2-4h),Heuristic,608.86,230.27,131.32,232.26,15.0,0.9375,5904.4,4,success
Set 1: N-N,Taxi (5-10m),MDP_Difference,877.63,614.88,111.66,136.09,15.0,0.75,5838.7,2,success
Set 1: N-N,Taxi (5-10m),MDP,877.63,614.88,111.66,136.09,15.0,0.75,17012.6,2,success
Set 1: N-N,Taxi (5-10m),Heuristic,877.63,614.88,111.66,136.09,15.0,0.75,5869.0,2,success
Set 1: N-N,Delivery (1-4m),MDP_Difference,889.41,626.66,111.66,136.09,15.0,0.75,5861.3,2,success
Set 1: N-N,Delivery (1-4m),MDP,889.41,626.66,111.66,136.09,15.0,0.75,16965.5,2,success
Set 1: N-N,Delivery (1-4m),Heuristic,889.41,626.66,111.66,136.09,15.0,0.75,5784.4,2,success
Set 2: N-E,Short Stay (10-40m),MDP_Difference,1047.74,389.88,122.78,520.07,15.0,0.875,7262.3,3,success
Set 2: N-E,Short Stay (10-40m),MDP,1047.74,389.88,122.78,520.07,15.0,0.875,16927.7,3,success
Set 2: N-E,Short Stay (10-40m),Heuristic,1047.74,389.88,122.78,520.07,15.0,0.875,5891.5,3,success
Set 2: N-E,Mid Stay (1-2h),MDP_Difference,890.13,209.36,137.21,528.57,15.0,0.9688,12350.2,5,success
Set 2: N-E,Mid Stay (1-2h),MDP,890.13,209.36,137.21,528.57,15.0,0.9688,16977.8,5,success
Set 2: N-E,Mid Stay (1-2h),Heuristic,890.13,209.36,137.21,528.57,15.0,0.9688,5961.9,5,success
Set 2: N-E,Long Stay - Day (6-10h),MDP_Difference,1014.06,211.29,141.69,645.96,15.12,0.9922,17084.7,7,success
Set 2: N-E,Long Stay - Day (6-10h),MDP,1037.06,250.58,137.21,634.28,15.0,0.9688,17013.7,5,success
Set 2: N-E,Long Stay - Day (6-10h),Heuristic,1014.06,211.29,141.69,645.96,15.12,0.9922,5843.1,7,success
Set 2: N-E,Long Stay - Night (8-12h),MDP_Difference,792.81,133.6,141.69,502.41,15.12,0.9922,17665.7,7,success
Set 2: N-E,Long Stay - Night (8-12h),MDP,819.56,174.02,137.21,493.33,15.0,0.9688,17969.5,5,success
Set 2: N-E,Long Stay - Night (8-12h),Heuristic,792.81,133.6,141.69,502.41,15.12,0.9922,7217.3,7,success
Set 2: N-E,Evening Stay (2-4h),MDP_Difference,994.48,230.27,131.32,617.88,15.0,0.9375,9909.4,4,success
Set 2: N-E,Evening Stay (2-4h),MDP,994.48,230.27,131.32,617.88,15.0,0.9375,17100.3,4,success
Set 2: N-E,Evening Stay (2-4h),Heuristic,994.48,230.27,131.32,617.88,15.0,0.9375,5954.1,4,success
Set 2: N-E,Taxi (5-10m),MDP_Difference,1145.59,614.88,111.66,404.05,15.0,0.75,5975.0,2,success
Set 2: N-E,Taxi (5-10m),MDP,1145.59,614.88,111.66,404.05,15.0,0.75,17280.9,2,success
Set 2: N-E,Taxi (5-10m),Heuristic,1145.59,614.88,111.66,404.05,15.0,0.75,5946.3,2,success
Set 2: N-E,Delivery (1-4m),MDP_Difference,1157.36,626.66,111.66,404.05,15.0,0.75,5858.2,2,success
Set 2: N-E,Delivery (1-4m),MDP,1157.36,626.66,111.66,404.05,15.0,0.75,17004.0,2,success
Set 2: N-E,Delivery (1-4m),Heuristic,1157.36,626.66,111.66,404.05,15.0,0.75,5870.3,2,success
Set 3: N-S,Short Stay (10-40m),MDP_Difference,1086.78,389.88,122.78,559.11,15.0,0.875,7293.4,3,success
Set 3: N-S,Short Stay (10-40m),MDP,1086.78,389.88,122.78,559.11,15.0,0.875,16969.7,3,success
Set 3: N-S,Short Stay (10-40m),Heuristic,1086.78,389.88,122.78,559.11,15.0,0.875,5807.1,3,success
Set 3: N-S,Mid Stay (1-2h),MDP_Difference,942.19,209.36,137.21,580.63,15.0,0.9688,14929.2,5,success
Set 3: N-S,Mid Stay (1-2h),MDP,942.19,209.36,137.21,580.63,15.0,0.9688,16990.7,5,success
Set 3: N-S,Mid Stay (1-2h),Heuristic,942.19,209.36,137.21,580.63,15.0,0.9688,5905.4,5,success
Set 3: N-S,Long Stay - Day (6-10h),MDP_Difference,1082.68,210.21,144.9,712.34,15.23,0.9922,17142.8,7,success
Set 3: N-S,Long Stay - Day (6-10h),MDP,1099.53,250.58,137.21,696.75,15.0,0.9688,16989.5,5,success
Set 3: N-S,Long Stay - Day (6-10h),Heuristic,1083.43,212.36,143.1,712.98,15.0,0.9922,5858.2,7,success
Set 3: N-S,Long Stay - Night (8-12h),MDP_Difference,846.88,134.24,143.1,554.54,15.0,0.9922,17173.6,7,success
Set 3: N-S,Long Stay - Night (8-12h),MDP,868.15,174.02,137.21,541.92,15.0,0.9688,17138.4,5,success
Set 3: N-S,Long Stay - Night (8-12h),Heuristic,846.88,134.24,143.1,554.54,15.0,0.9922,5883.6,7,success
Set 3: N-S,Evening Stay (2-4h),MDP_Difference,1050.76,230.27,131.32,674.17,15.0,0.9375,9788.6,4,success
Set 3: N-S,Evening Stay (2-4h),MDP,1050.76,230.27,131.32,674.17,15.0,0.9375,17030.6,4,success
Set 3: N-S,Evening Stay (2-4h),Heuristic,1050.76,230.27,131.32,674.17,15.0,0.9375,5980.9,4,success
Set 3: N-S,Taxi (5-10m),MDP_Difference,1160.5,614.88,111.66,418.96,15.0,0.75,6047.8,2,success
Set 3: N-S,Taxi (5-10m),MDP,1160.5,614.88,111.66,418.96,15.0,0.75,17215.2,2,success
Set 3: N-S,Taxi (5-10m),Heuristic,1160.5,614.88,111.66,418.96,15.0,0.75,5895.0,2,success
Set 3: N-S,Delivery (1-4m),MDP_Difference,1172.28,626.66,111.66,418.96,15.0,0.75,5892.8,2,success
Set 3: N-S,Delivery (1-4m),MDP,1172.28,626.66,111.66,418.96,15.0,0.75,16949.8,2,success
Set 3: N-S,Delivery (1-4m),Heuristic,1172.28,626.66,111.66,418.96,15.0,0.75,5827.4,2,success
Set 4: N-W,Short Stay (10-40m),MDP_Difference,816.47,389.88,122.78,288.81,15.0,0.875,7230.2,3,success
Set 4: N-W,Short Stay (10-40m),MDP,816.47,389.88,122.78,288.81,15.0,0.875,16970.5,3,success
Set 4: N-W,Short Stay (10-40m),Heuristic,816.47,389.88,122.78,288.81,15.0,0.875,5722.4,3,success
Set 4: N-W,Mid Stay (1-2h),MDP_Difference,667.83,209.36,137.21,306.27,15.0,0.9688,12187.3,5,success
Set 4: N-W,Mid Stay (1-2h),MDP,667.83,209.36,137.21,306.27,15.0,0.9688,16889.7,5,success
Set 4: N-W,Mid Stay (1-2h),Heuristic,667.83,209.36,137.21,306.27,15.0,0.9688,5878.0,5,success
Set 4: N-W,Long Stay - Day (6-10h),MDP_Difference,697.62,200.82,132.34,347.35,17.11,0.9922,17085.9,7,success
Set 4: N-W,Long Stay - Day (6-10h),MDP,720.68,239.63,125.62,339.03,16.41,0.9688,16877.1,5,success
Set 4: N-W,Long Stay - Day (6-10h),Heuristic,730.52,219.62,156.74,334.0,20.16,0.9922,5771.9,7,success
Set 4: N-W,Long Stay - Night (8-12h),MDP_Difference,580.8,133.27,139.87,292.31,15.35,0.9922,17069.1,7,success
Set 4: N-W,Long Stay - Night (8-12h),MDP,580.8,133.27,139.87,292.31,15.35,0.9922,16984.2,7,success
Set 4: N-W,Long Stay - Night (8-12h),Heuristic,561.32,150.91,107.19,291.85,11.37,0.9922,5792.5,7,success
Set 4: N-W,Evening Stay (2-4h),MDP_Difference,714.5,236.06,142.34,317.36,18.75,0.9375,9678.5,4,success
Set 4: N-W,Evening Stay (2-4h),MDP,714.5,236.06,142.34,317.36,18.75,0.9375,16880.0,4,success
Set 4: N-W,Evening Stay (2-4h),Heuristic,714.5,236.06,142.34,317.36,18.75,0.9375,5772.3,4,success
Set 4: N-W,Taxi (5-10m),MDP_Difference,950.05,614.88,111.66,208.51,15.0,0.75,5814.5,2,success
Set 4: N-W,Taxi (5-10m),MDP,950.05,614.88,111.66,208.51,15.0,0.75,17000.1,2,success
Set 4: N-W,Taxi (5-10m),Heuristic,950.05,614.88,111.66,208.51,15.0,0.75,5848.4,2,success
Set 4: N-W,Delivery (1-4m),MDP_Difference,961.83,626.66,111.66,208.51,15.0,0.75,5779.8,2,success
Set 4: N-W,Delivery (1-4m),MDP,961.83,626.66,111.66,208.51,15.0,0.75,17010.0,2,success
Set 4: N-W,Delivery (1-4m),Heuristic,961.83,626.66,111.66,208.51,15.0,0.75,5758.9,2,success
Set 5: E-E,Short Stay (10-40m),MDP_Difference,1080.31,506.43,164.95,403.31,5.62,0.875,7266.7,3,success
Set 5: E-E,Short Stay (10-40m),MDP,1080.31,506.43,164.95,403.31,5.62,0.875,17121.4,3,success
Set 5: E-E,Short Stay (10-40m),Heuristic,1150.72,586.38,93.23,459.86,11.25,0.875,5890.8,3,success
Set 5: E-E,Mid Stay (1-2h),MDP_Difference,922.75,320.95,172.88,423.29,5.62,0.9688,12418.3,5,success
Set 5: E-E,Mid Stay (1-2h),MDP,922.75,320.95,172.88,423.29,5.62,0.9688,16988.6,5,success
Set 5: E-E,Mid Stay (1-2h),Heuristic,978.25,391.82,103.06,472.12,11.25,0.9688,5895.1,5,success
Set 5: E-E,Long Stay - Day (6-10h),MDP_Difference,1051.24,350.03,175.34,520.25,5.62,0.9922,17172.1,7,success
Set 5: E-E,Long Stay - Day (6-10h),MDP,1051.24,350.03,175.34,520.25,5.62,0.9922,17008.2,7,success
Set 5: E-E,Long Stay - Day (6-10h),Heuristic,1138.82,441.43,107.51,578.64,11.25,0.9922,5868.7,7,success
Set 5: E-E,Long Stay - Night (8-12h),MDP_Difference,841.88,273.07,107.51,450.05,11.25,0.9922,17083.2,7,success
Set 5: E-E,Long Stay - Night (8-12h),MDP,850.53,286.25,106.0,447.02,11.25,0.9844,17010.7,6,success
Set 5: E-E,Long Stay - Night (8-12h),Heuristic,841.88,273.07,107.51,450.05,11.25,0.9922,5956.3,7,success
Set 5: E-E,Evening Stay (2-4h),MDP_Difference,1030.81,370.63,98.79,550.14,11.25,0.9375,9796.8,4,success
Set 5: E-E,Evening Stay (2-4h),MDP,1030.81,370.63,98.79,550.14,11.25,0.9375,18956.6,4,success
Set 5: E-E,Evening Stay (2-4h),Heuristic,1030.81,370.63,98.79,550.14,11.25,0.9375,5909.2,4,success
Set 5: E-E,Taxi (5-10m),MDP_Difference,1209.92,762.17,85.13,351.36,11.25,0.75,5854.2,2,success
Set 5: E-E,Taxi (5-10m),MDP,1168.29,730.45,143.43,290.65,3.75,0.75,17098.2,2,success
Set 5: E-E,Taxi (5-10m),Heuristic,1209.92,762.17,85.13,351.36,11.25,0.75,5904.1,2,success
Set 5: E-E,Delivery (1-4m),MDP_Difference,1232.22,784.47,85.13,351.36,11.25,0.75,5933.2,2,success
Set 5: E-E,Delivery (1-4m),MDP,1232.22,784.47,85.13,351.36,11.25,0.75,17035.7,2,success
Set 5: E-E,Delivery (1-4m),Heuristic,1232.22,784.47,85.13,351.36,11.25,0.75,5860.6,2,success
Set 6: E-S,Short Stay (10-40m),MDP_Difference,1236.81,506.43,164.95,559.8,5.62,0.875,7253.2,3,success
Set 6: E-S,Short Stay (10-40m),MDP,1236.81,506.43,164.95,559.8,5.62,0.875,17123.1,3,success
Set 6: E-S,Short Stay (10-40m),Heuristic,1326.79,586.38,93.23,635.93,11.25,0.875,5817.2,3,success
Set 6: E-S,Mid Stay (1-2h),MDP_Difference,1158.77,391.82,103.06,652.64,11.25,0.9688,12309.8,5,success
Set 6: E-S,Mid Stay (1-2h),MDP,1158.77,391.82,103.06,652.64,11.25,0.9688,17160.5,5,success
Set 6: E-S,Mid Stay (1-2h),Heuristic,1158.77,391.82,103.06,652.64,11.25,0.9688,5896.9,5,success
Set 6: E-S,Long Stay - Day (6-10h),MDP_Difference,1261.63,361.9,179.88,713.29,6.56,0.9922,17292.4,7,success
Set 6: E-S,Long Stay - Day (6-10h),MDP,1261.63,361.9,179.88,713.29,6.56,0.9922,17219.4,7,success
Set 6: E-S,Long Stay - Day (6-10h),Heuristic,1359.82,440.63,108.19,799.75,11.25,0.9922,5913.3,7,success
Set 6: E-S,Long Stay - Night (8-12h),MDP_Difference,1014.06,272.59,108.19,622.03,11.25,0.9922,17149.0,7,success
Set 6: E-S,Long Stay - Night (8-12h),MDP,1021.42,286.25,106.0,617.92,11.25,0.9844,17071.8,6,success
Set 6: E-S,Long Stay - Night (8-12h),Heuristic,1014.06,272.59,108.19,622.03,11.25,0.9922,5853.9,7,success
Set 6: E-S,Evening Stay (2-4h),MDP_Difference,1241.26,370.63,98.79,760.59,11.25,0.9375,9820.1,4,success
Set 6: E-S,Evening Stay (2-4h),MDP,1241.26,370.63,98.79,760.59,11.25,0.9375,17095.1,4,success
Set 6: E-S,Evening Stay (2-4h),Heuristic,1241.26,370.63,98.79,760.59,11.25,0.9375,5876.1,4,success
Set 6: E-S,Taxi (5-10m),MDP_Difference,1344.73,762.17,85.13,486.18,11.25,0.75,5903.8,2,success
Set 6: E-S,Taxi (5-10m),MDP,1299.41,730.45,143.43,421.77,3.75,0.75,17011.5,2,success
Set 6: E-S,Taxi (5-10m),Heuristic,1344.73,762.17,85.13,486.18,11.25,0.75,5901.1,2,success
Set 6: E-S,Delivery (1-4m),MDP_Difference,1367.03,784.47,85.13,486.18,11.25,0.75,5839.8,2,success
Set 6: E-S,Delivery (1-4m),MDP,1367.03,784.47,85.13,486.18,11.25,0.75,17141.8,2,success
Set 6: E-S,Delivery (1-4m),Heuristic,1367.03,784.47,85.13,486.18,11.25,0.75,6006.4,2,success
Set 7: E-W,Short Stay (10-40m),MDP_Difference,983.77,506.43,164.95,306.77,5.62,0.875,7330.6,3,success
Set 7: E-W,Short Stay (10-40m),MDP,983.77,506.43,164.95,306.77,5.62,0.875,16980.7,3,success
Set 7: E-W,Short Stay (10-40m),Heuristic,983.77,506.43,164.95,306.77,5.62,0.875,6329.7,3,success
Set 7: E-W,Mid Stay (1-2h),MDP_Difference,821.25,320.95,172.88,321.79,5.62,0.9688,12467.5,5,success
Set 7: E-W,Mid Stay (1-2h),MDP,821.25,320.95,172.88,321.79,5.62,0.9688,17578.4,5,success
Set 7: E-W,Mid Stay (1-2h),Heuristic,821.25,320.95,172.88,321.79,5.62,0.9688,5846.7,5,success
Set 7: E-W,Long Stay - Day (6-10h),MDP_Difference,899.59,402.79,132.34,347.35,17.11,0.9922,17179.6,7,success
Set 7: E-W,Long Stay - Day (6-10h),MDP,922.65,441.6,125.62,339.03,16.41,0.9688,16945.8,5,success
Set 7: E-W,Long Stay - Day (6-10h),Heuristic,932.49,421.59,156.74,334.0,20.16,0.9922,5904.8,7,success
Set 7: E-W,Long Stay - Night (8-12h),MDP_Difference,663.04,249.94,120.49,277.61,15.0,0.9922,17156.5,7,success
Set 7: E-W,Long Stay - Night (8-12h),MDP,732.95,343.67,116.0,258.28,15.0,0.9375,17249.6,4,success
Set 7: E-W,Long Stay - Night (8-12h),Heuristic,683.72,273.32,107.19,291.85,11.37,0.9922,5890.6,7,success
Set 7: E-W,Evening Stay (2-4h),MDP_Difference,836.91,358.46,142.34,317.36,18.75,0.9375,9763.8,4,success
Set 7: E-W,Evening Stay (2-4h),MDP,836.91,358.46,142.34,317.36,18.75,0.9375,17086.8,4,success
Set 7: E-W,Evening Stay (2-4h),Heuristic,836.91,358.46,142.34,317.36,18.75,0.9375,5800.8,4,success
Set 7: E-W,Taxi (5-10m),MDP_Difference,1109.63,730.45,143.43,231.99,3.75,0.75,5757.4,2,success
Set 7: E-W,Taxi (5-10m),MDP,1109.63,730.45,143.43,231.99,3.75,0.75,16864.9,2,success
Set 7: E-W,Taxi (5-10m),Heuristic,1065.25,762.17,85.13,206.69,11.25,0.75,5723.4,2,success
Set 7: E-W,Delivery (1-4m),MDP_Difference,1087.55,784.47,85.13,206.69,11.25,0.75,5787.1,2,success
Set 7: E-W,Delivery (1-4m),MDP,1087.55,784.47,85.13,206.69,11.25,0.75,16847.8,2,success
Set 7: E-W,Delivery (1-4m),Heuristic,1087.55,784.47,85.13,206.69,11.25,0.75,5815.5,2,success
Set 8: E-N,Short Stay (10-40m),MDP_Difference,911.59,506.43,164.95,234.59,5.62,0.875,7106.6,3,success
Set 8: E-N,Short Stay (10-40m),MDP,911.59,506.43,164.95,234.59,5.62,0.875,16918.2,3,success
