location_set,start,dest,ref,algo,lambda_w,lambda_e,lambda_tr,lambda_turns_arr,lambda_turns_exit,lambda_cross,k,expected_total_sec,expected_drive_sec,expected_walk_sec,expected_exit_sec,expected_cross_sec,expected_arrival_turn_sec,expected_exit_turn_sec,success_probability,chain_indices,chain_spot_ids,chain_length
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,25.0,1.0,5.0,5.0,1.0,7,669.376692345239,236.96184559250904,121.86690462703962,166.71737571944038,15.02197265625,53.76953125,75.0390625,0.99951171875,"[2, 12, 0, 1, 5, 11, 8]","['manual_1768384350727', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384279456']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,25.0,1.0,5.0,8.0,1.0,7,669.376692345239,236.96184559250904,121.86690462703962,166.71737571944038,15.02197265625,53.76953125,75.0390625,0.99951171875,"[2, 12, 0, 1, 5, 11, 8]","['manual_1768384350727', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384279456']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,25.0,5.0,5.0,5.0,1.0,7,673.8134291831241,242.89152900556195,121.22256257167489,166.14465010588722,15.0,53.75,74.8046875,0.99609375,"[2, 6, 12, 0, 1, 5, 11]","['manual_1768384350727', 'manual_1768896877867', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,8.0,1.0,2.0,15.0,1.0,7,696.9821451810384,174.4274814087814,214.4944413995282,163.26377461882257,18.996734619140625,47.8759765625,77.92373657226562,0.9999847412109375,"[0, 1, 5, 11, 12, 8, 6]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1773653788995', 'manual_1768384279456', 'manual_1768896877867']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,8.0,1.0,2.0,15.0,2.0,7,696.9821451810384,174.4274814087814,214.4944413995282,163.26377461882257,18.996734619140625,47.8759765625,77.92373657226562,0.9999847412109375,"[0, 1, 5, 11, 12, 8, 3]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1773653788995', 'manual_1768384279456', 'manual_1768384284772']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,15.0,5.0,0.0,15.0,1.0,7,696.9821451810384,174.4274814087814,214.4944413995282,163.26377461882257,18.996734619140625,47.8759765625,77.92373657226562,0.9999847412109375,"[0, 1, 5, 11, 12, 8, 6]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1773653788995', 'manual_1768384279456', 'manual_1768896877867']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,25.0,1.0,0.0,5.0,1.0,7,696.9947492080348,174.48692988033534,214.486591326201,163.23118893899843,18.99078369140625,47.8912353515625,77.90802001953125,0.999969482421875,"[0, 12, 1, 5, 8, 6, 29]","['manual_1768981547757', 'manual_1773653788995', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384279456', 'manual_1768896877867', 'manual_1768896889082']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,25.0,1.0,2.0,5.0,1.0,7,696.9947492080348,174.48692988033534,214.486591326201,163.23118893899843,18.99078369140625,47.8912353515625,77.90802001953125,0.999969482421875,"[0, 12, 1, 5, 8, 6, 29]","['manual_1768981547757', 'manual_1773653788995', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384279456', 'manual_1768896877867', 'manual_1768896889082']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,8.0,1.0,0.0,15.0,4.0,7,697.0037822005506,174.45462161025188,214.4929991209848,163.26108700642328,18.996734619140625,47.8759765625,77.92236328125,0.999969482421875,"[0, 1, 5, 11, 12, 13, 8]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1773653788995', 'manual_1768384276724', 'manual_1768384279456']",7
Set 14: W-N,"(51.132599389420065, 71.40672935111475)","(51.124765685067246, 71.43210200919789)","(51.133696570341655, 71.43163913937695)",MDP_Difference,5.0,15.0,1.0,2.0,15.0,4.0,7,697.0037822005506,174.45462161025188,214.4929991209848,163.26108700642328,18.996734619140625,47.8759765625,77.92236328125,0.999969482421875,"[0, 1, 5, 11, 12, 13, 8]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1773653788995', 'manual_1768384276724', 'manual_1768384279456']",7
