location_set,start,dest,ref,algo,lambda_w,lambda_e,lambda_tr,lambda_turns_arr,lambda_turns_exit,lambda_cross,k,expected_total_sec,expected_drive_sec,expected_walk_sec,expected_exit_sec,expected_cross_sec,expected_arrival_turn_sec,expected_exit_turn_sec,success_probability,chain_indices,chain_spot_ids,chain_length
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,10.0,8.0,1.0,5.0,5.0,1.0,7,700.393878922897,114.14370353748032,121.88998108373397,334.59823141105767,15.02197265625,13.76953125,100.970458984375,0.999755859375,"[2, 6, 0, 1, 5, 3, 11]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384284772', 'manual_1768384364026']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,10.0,8.0,1.0,5.0,5.0,2.0,7,700.393878922897,114.14370353748032,121.88998108373397,334.59823141105767,15.02197265625,13.76953125,100.970458984375,0.999755859375,"[2, 6, 0, 1, 5, 3, 11]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384284772', 'manual_1768384364026']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,10.0,8.0,1.0,5.0,8.0,1.0,7,700.393878922897,114.14370353748032,121.88998108373397,334.59823141105767,15.02197265625,13.76953125,100.970458984375,0.999755859375,"[2, 6, 0, 1, 5, 11, 3]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384284772']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,15.0,1.0,5.0,5.0,1.0,7,700.6455816766072,114.57979157766687,121.89317804590239,334.47046361553794,15.02197265625,13.76953125,100.91064453125,0.99951171875,"[2, 6, 0, 1, 5, 13, 15]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384276724', 'manual_1768384274659']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,1.0,5.0,5.0,1.0,7,702.444166065415,117.21194006094328,121.59953605887416,334.0721430705976,15.0,13.76953125,100.791015625,0.998046875,"[2, 6, 0, 1, 5, 11, 13]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384276724']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,1.0,5.0,5.0,2.0,7,702.444166065415,117.21194006094328,121.59953605887416,334.0721430705976,15.0,13.76953125,100.791015625,0.998046875,"[2, 6, 0, 1, 5, 11, 13]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384276724']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,1.0,5.0,8.0,1.0,7,702.444166065415,117.21194006094328,121.59953605887416,334.0721430705976,15.0,13.76953125,100.791015625,0.998046875,"[2, 6, 0, 1, 5, 11, 13]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384276724']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,1.0,5.0,8.0,2.0,7,702.444166065415,117.21194006094328,121.59953605887416,334.0721430705976,15.0,13.76953125,100.791015625,0.998046875,"[2, 6, 0, 1, 5, 11, 13]","['manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384276724']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,5.0,5.0,5.0,1.0,7,704.6366844868489,120.507630174061,121.22256257167489,333.53149174111303,15.0,13.75,100.625,0.99609375,"[4, 2, 6, 0, 1, 5, 11]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,5.0,5.0,5.0,2.0,7,704.6366844868489,120.507630174061,121.22256257167489,333.53149174111303,15.0,13.75,100.625,0.99609375,"[4, 2, 6, 0, 1, 5, 11]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,5.0,5.0,8.0,1.0,7,704.6366844868489,120.507630174061,121.22256257167489,333.53149174111303,15.0,13.75,100.625,0.99609375,"[4, 2, 6, 0, 1, 5, 11]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,5.0,8.0,9.0,5.0,5.0,1.0,7,704.6366844868489,120.507630174061,121.22256257167489,333.53149174111303,15.0,13.75,100.625,0.99609375,"[4, 2, 6, 0, 1, 5, 11]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026']",7
Set 2: N-E,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.12521564839819, 71.46731192666734)",MDP_Difference,10.0,8.0,5.0,5.0,5.0,1.0,7,704.6366844868489,120.507630174061,121.22256257167489,333.53149174111303,15.0,13.75,100.625,0.99609375,"[4, 2, 6, 0, 1, 5, 11]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026']",7
