location_set,start,dest,ref,algo,lambda_w,lambda_e,lambda_tr,lambda_turns_arr,lambda_turns_exit,lambda_cross,k,expected_total_sec,expected_drive_sec,expected_walk_sec,expected_exit_sec,expected_cross_sec,expected_arrival_turn_sec,expected_exit_turn_sec,success_probability,chain_indices,chain_spot_ids,chain_length
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,20.0,8.0,1.0,2.0,5.0,4.0,7,809.72755496746,120.17896370606114,142.74946300087777,399.70562240114606,15.201416015625,55.1953125,76.69677734375,0.999755859375,"[0, 1, 5, 11, 3, 2, 6]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384284772', 'manual_1768384350727', 'manual_1768896877867']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,20.0,8.0,1.0,5.0,5.0,4.0,7,809.72755496746,120.17896370606114,142.74946300087777,399.70562240114606,15.201416015625,55.1953125,76.69677734375,0.999755859375,"[0, 1, 5, 11, 3, 2, 6]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384284772', 'manual_1768384350727', 'manual_1768896877867']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,10.0,25.0,1.0,0.0,5.0,2.0,7,809.9565134231771,120.10973571750095,143.3422024149078,399.3343940163542,15.292739868164062,55.50933837890625,76.36810302734375,0.9999847412109375,"[0, 1, 5, 11, 14, 8, 7]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384206741', 'manual_1768384279456', 'manual_1768981746718']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,20.0,25.0,1.0,0.0,15.0,1.0,7,809.9725953455832,120.12284669787606,143.34082312563768,399.33218296835844,15.292739868164062,55.5181884765625,76.36581420898438,0.9999847412109375,"[0, 1, 5, 11, 14, 7, 8]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384206741', 'manual_1768981746718', 'manual_1768384279456']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,20.0,25.0,1.0,0.0,15.0,2.0,7,809.9725953455832,120.12284669787606,143.34082312563768,399.33218296835844,15.292739868164062,55.5181884765625,76.36581420898438,0.9999847412109375,"[0, 1, 5, 11, 14, 7, 8]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384206741', 'manual_1768981746718', 'manual_1768384279456']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,5.0,25.0,1.0,0.0,8.0,2.0,7,809.9728927802154,120.13761586739122,143.33591557929466,399.3304770561857,15.2911376953125,55.50933837890625,76.368408203125,0.999969482421875,"[0, 1, 5, 14, 27, 11, 22]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384206741', 'manual_1768900136894', 'manual_1768384364026', 'manual_1768384371910']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,5.0,25.0,1.0,0.0,15.0,2.0,7,809.9728927802154,120.13761586739122,143.33591557929466,399.3304770561857,15.2911376953125,55.50933837890625,76.368408203125,0.999969482421875,"[0, 1, 5, 14, 27, 11, 22]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384206741', 'manual_1768900136894', 'manual_1768384364026', 'manual_1768384371910']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,10.0,8.0,1.0,0.0,15.0,2.0,7,809.98199292586,120.1483037237749,143.34034797779879,399.3235414195988,15.29205322265625,55.51605224609375,76.3616943359375,0.999969482421875,"[0, 1, 5, 11, 14, 7, 22]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384206741', 'manual_1768981746718', 'manual_1768384371910']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,10.0,15.0,1.0,0.0,15.0,2.0,7,809.98199292586,120.1483037237749,143.34034797779879,399.3235414195988,15.29205322265625,55.51605224609375,76.3616943359375,0.999969482421875,"[0, 1, 5, 11, 14, 7, 22]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384206741', 'manual_1768981746718', 'manual_1768384371910']",7
Set 3: N-S,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.08672776951535, 71.41118884135531)",MDP_Difference,10.0,8.0,1.0,0.0,5.0,2.0,7,810.0383264715335,120.83026186474054,142.8543079487787,399.37865900176433,15.22705078125,55.29296875,76.455078125,0.99951171875,"[0, 1, 5, 11, 8, 7, 2]","['manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384364026', 'manual_1768384279456', 'manual_1768981746718', 'manual_1768384350727']",7
