location_set,start,dest,ref,algo,lambda_w,lambda_e,lambda_tr,lambda_turns_arr,lambda_turns_exit,lambda_cross,k,expected_total_sec,expected_drive_sec,expected_walk_sec,expected_exit_sec,expected_cross_sec,expected_arrival_turn_sec,expected_exit_turn_sec,success_probability,chain_indices,chain_spot_ids,chain_length
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,8.0,1.0,2.0,5.0,1.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 12, 0, 1, 3]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,8.0,1.0,2.0,5.0,2.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 12, 0, 1, 3]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,8.0,1.0,2.0,5.0,4.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 0, 1, 3, 5]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772', 'manual_1768905208846']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,8.0,1.0,2.0,8.0,4.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 0, 1, 5, 3]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768905208846', 'manual_1768384284772']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,15.0,1.0,0.0,5.0,1.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 12, 0, 1, 3, 6]","['manual_1768384365863', 'manual_1768384350727', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772', 'manual_1768896877867']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,15.0,1.0,0.0,5.0,2.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 12, 0, 1, 3, 6]","['manual_1768384365863', 'manual_1768384350727', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772', 'manual_1768896877867']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,15.0,1.0,2.0,5.0,1.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 12, 0, 1, 3]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,15.0,1.0,2.0,5.0,2.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 12, 0, 1, 3]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,15.0,1.0,2.0,5.0,4.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 12, 0, 1, 3]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772']",7
Set 4: N-W,"(51.133696570341655, 71.43163913937695)","(51.124765685067246, 71.43210200919789)","(51.132599389420065, 71.40672935111475)",MDP_Difference,10.0,15.0,1.0,2.0,8.0,4.0,7,503.0300400389642,114.14370353748032,121.88998108373397,200.1128104958749,15.02197265625,13.76953125,38.092041015625,0.999755859375,"[4, 2, 6, 12, 0, 1, 3]","['manual_1768384365863', 'manual_1768384350727', 'manual_1768896877867', 'manual_1773653788995', 'manual_1768981547757', 'manual_1768905203748', 'manual_1768384284772']",7
